form_id,poultry_establishment_id,collection_date,poultry_type,result,serotype,high_risk,antimicrobial_resistance,antimicrobial_resistance_category
102476625,P519,2020-06-28,Chicken Parts,false,,,,
102476177,P1307,2020-06-28,Chicken Parts,false,,,,
102495401,P165H,2020-06-28,Whole Chicken,false,,,,
102490286,P727,2020-06-28,Chicken Parts,false,,,,
102476646,P19865,2020-06-28,Whole Chicken,false,,,,
102478216,P533,2020-06-28,Whole Chicken,false,,,,
102488097,P1243,2020-06-28,Ground Chicken,false,,,,
102481785,P17980,2020-06-28,Chicken Parts,false,,,,
102478233,P19128,2020-06-29,Chicken Parts,false,,,,
102484621,P5142,2020-06-29,Chicken Parts,false,,,,
102487659,P9900,2020-06-29,Chicken Parts,false,,,,
102478322,P20245,2020-06-29,Chicken Parts,false,,,,
102483414,P3,2020-06-29,Chicken Parts,false,,,,
102497561,P806,2020-06-29,Chicken Parts,false,,,,
102496036,P2178,2020-06-29,Chicken Parts,false,,,,
102500115,P7903,2020-06-29,Chicken Parts,false,,,,
102496081,P2095,2020-06-29,Chicken Parts,false,,,,
102485007,P322,2020-06-29,Chicken Parts,false,,,,
102476088,P4653A,2020-06-29,Chicken Parts,false,,,,
102487577,P5542A,2020-06-29,Chicken Parts,false,,,,
102497162,P1362,2020-06-29,Chicken Parts,false,,,,
102500124,P7089,2020-06-29,Chicken Parts,false,,,,
102497263,P13556,2020-06-29,Chicken Parts,false,,,,
102482753,P112,2020-06-29,Chicken Parts,false,,,,
102497134,P607,2020-06-29,Chicken Parts,false,,,,
102482767,P705,2020-06-29,Chicken Parts,false,,,,
102478732,P19865,2020-06-29,Chicken Parts,false,,,,
102479868,P325,2020-06-29,Chicken Parts,false,,,,
102483621,P206,2020-06-29,Chicken Parts,false,,,,
102491943,P4800,2020-06-29,Chicken Parts,false,,,,
102476399,P19688,2020-06-29,Chicken Parts,false,,,,
102497778,P19909,2020-06-29,Chicken Parts,false,,,,
102501657,P912,2020-06-29,Chicken Parts,false,,,,
102481558,P19378,2020-06-29,Chicken Parts,true,Schwarzengrund,true,Pan-Susceptible,Pan-Susceptible
102489559,P7091A,2020-06-29,Chicken Parts,true,Kentucky,false,Pan-Susceptible,Pan-Susceptible
102500740,P476,2020-06-29,Chicken Parts,false,,,,
102476505,P510,2020-06-29,Chicken Parts,false,,,,
102501209,P1315,2020-06-29,Chicken Parts,false,,,,
102485045,P17335,2020-06-29,Chicken Parts,false,,,,
102496305,P687,2020-06-29,Chicken Parts,false,,,,
102476729,P419,2020-06-29,Chicken Parts,false,,,,
102484167,P622,2020-06-29,Chicken Parts,false,,,,
102496104,P1201,2020-06-29,Chicken Parts,false,,,,
102490319,P1309,2020-06-29,Chicken Parts,false,,,,
102493409,P7428,2020-06-29,Chicken Parts,false,,,,
102479807,P9197,2020-06-29,Chicken Parts,false,,,,
102483197,P243,2020-06-29,Chicken Parts,false,,,,
102500741,P646,2020-06-29,Chicken Parts,false,,,,
102483104,P22000,2020-06-29,Whole Turkey,false,,,,
102496294,P20935,2020-06-29,Whole Turkey,false,,,,
102480836,P1235,2020-06-29,Chicken Parts,false,,,,
102501259,P1315,2020-06-29,Chicken Parts,false,,,,
102493591,P218,2020-06-29,Chicken Parts,false,,,,
102479023,P6504,2020-06-29,Chicken Parts,false,,,,
102480751,P6651,2020-06-29,Chicken Parts,false,,,,
102479633,P192,2020-06-29,Chicken Parts,false,,,,
102482559,P244,2020-06-29,Whole Turkey,false,,,,
102501189,P192,2020-06-29,Chicken Parts,false,,,,
102497531,P511,2020-06-29,Whole Turkey,false,,,,
102500959,P1137,2020-06-29,Whole Chicken,false,,,,
102499085,P963,2020-06-29,Whole Turkey,false,,,,
102478405,P7669,2020-06-29,Whole Turkey,false,,,,
102476650,P5533,2020-06-29,Whole Turkey,false,,,,
102477742,P551,2020-06-29,Whole Turkey,false,,,,
102482758,P112,2020-06-29,Whole Chicken,false,,,,
102476773,P208,2020-06-29,Whole Chicken,false,,,,
102478713,P468,2020-06-29,Whole Chicken,false,,,,
102488516,P1243,2020-06-29,Whole Chicken,false,,,,
102476519,P510,2020-06-29,Whole Chicken,false,,,,
102500546,P1,2020-06-29,Whole Chicken,false,,,,
102476843,P4871,2020-06-29,Chicken Parts,false,,,,
102479504,P445,2020-06-29,Whole Chicken,false,,,,
102492001,P481,2020-06-29,Whole Chicken,false,,,,
102497309,P1009,2020-06-29,Whole Chicken,false,,,,
102476265,P17500,2020-06-29,Chicken Parts,false,,,,
102499488,P18557,2020-06-29,Chicken Parts,false,,,,
102482573,P164,2020-06-29,Chicken Parts,false,,,,
102497507,P320,2020-06-29,Chicken Parts,false,,,,
102476349,P247,2020-06-29,Chicken Parts,false,,,,
102499779,P6719,2020-06-29,Chicken Parts,false,,,,
102478442,P445,2020-06-29,Whole Chicken,false,,,,
102491944,P6505,2020-06-29,Whole Chicken,false,,,,
102477231,P1284,2020-06-29,Whole Chicken,false,,,,
102482598,P910,2020-06-29,Whole Chicken,false,,,,
102479163,P40,2020-06-29,Whole Chicken,false,,,,
102495420,P4686,2020-06-29,Ground Turkey,true,Reading,true,Pan-Susceptible,Pan-Susceptible
102489651,P244,2020-06-29,Ground Turkey,false,,,,
102499076,P157,2020-06-29,Ground Turkey,false,,,,
102500397,P403,2020-06-29,Ground Turkey,false,,,,
102477532,P18,2020-06-29,Ground Turkey,false,,,,
102477785,P7464,2020-06-29,Ground Turkey,false,,,,
102482274,P7345,2020-06-29,Ground Turkey,false,,,,
102496371,P18726,2020-06-29,Ground Turkey,false,,,,
102484094,P9120,2020-06-29,Chicken Parts,false,,,,
102478559,P19152,2020-06-29,Chicken Parts,false,,,,
102477325,P20322,2020-06-29,Chicken Parts,false,,,,
102490275,P20322,2020-06-29,Chicken Parts,false,,,,
102487469,P1294,2020-06-29,Whole Chicken,false,,,,
102483889,P7044,2020-06-29,Whole Chicken,false,,,,
102476317,P19688,2020-06-29,Whole Chicken,false,,,,
102498982,P522,2020-06-29,Whole Chicken,false,,,,
102479817,P6504,2020-06-29,Whole Chicken,false,,,,
102482256,P6651,2020-06-29,Whole Chicken,false,,,,
102476626,P519,2020-06-29,Whole Chicken,false,,,,
102482045,P758,2020-06-29,Whole Chicken,false,,,,
102489889,P19194,2020-06-29,Chicken Parts,false,,,,
102479822,P1254,2020-06-29,Whole Chicken,false,,,,
102497355,P7485,2020-06-29,Whole Chicken,false,,,,
102476264,P17500,2020-06-29,Whole Chicken,false,,,,
102478352,P768,2020-06-29,Whole Chicken,false,,,,
102497096,P13369,2020-06-29,Whole Chicken,false,,,,
102497342,P1315,2020-06-29,Whole Chicken,false,,,,
102477921,P20251,2020-06-29,Whole Chicken,false,,,,
102500764,P218,2020-06-29,Whole Chicken,true,Kentucky,false,Pan-Susceptible,Pan-Susceptible
102496434,P322,2020-06-29,Whole Chicken,false,,,,
102484215,P1241,2020-06-29,Whole Chicken,false,,,,
102499094,P7927,2020-06-29,Whole Chicken,false,,,,
102500114,P7903,2020-06-29,Whole Chicken,false,,,,
102500775,P935,2020-06-29,Whole Chicken,false,,,,
102496186,P146,2020-06-29,Whole Chicken,false,,,,
102482606,P56,2020-06-29,Whole Chicken,false,,,,
102495056,P20604,2020-06-29,Whole Chicken,false,,,,
102482639,P20245,2020-06-29,Whole Chicken,false,,,,
102499608,P810,2020-06-29,Whole Chicken,false,,,,
102480837,P19128,2020-06-29,Whole Chicken,false,,,,
102482420,P18285,2020-06-29,Whole Chicken,false,,,,
102479359,P17980,2020-06-29,Whole Chicken,false,,,,
102476937,P7987,2020-06-29,Whole Chicken,false,,,,
102485151,P4005,2020-06-29,Whole Chicken,false,,,,
102476288,P206,2020-06-29,Whole Chicken,true,Kentucky,false,Pan-Susceptible,Pan-Susceptible
102499468,P18557,2020-06-29,Whole Chicken,false,,,,
102486116,P320,2020-06-29,Whole Chicken,false,,,,
102476370,P247,2020-06-29,Whole Chicken,false,,,,
102482603,P1353,2020-06-29,Whole Chicken,false,,,,
102477706,P6164A,2020-06-29,Whole Chicken,false,,,,
102500541,P32182,2020-06-29,Whole Chicken,false,,,,
102483910,P7632,2020-06-29,Chicken Parts,false,,,,
102494340,P34308,2020-06-29,Whole Chicken,false,,,,
102481289,P1250,2020-06-29,Ground Chicken,false,,,,
102500543,P1,2020-06-29,Ground Chicken,false,,,,
102499254,P18388,2020-06-29,Ground Chicken,false,,,,
102494183,P6137,2020-06-29,Ground Chicken,false,,,,
102476132,P1542,2020-06-29,Ground Chicken,false,,,,
102482983,P20204,2020-06-29,Ground Chicken,false,,,,
102487105,P32170,2020-06-29,Ground Chicken,false,,,,
102501001,P20604,2020-06-29,Ground Chicken,true,Enteritidis,true,Pan-Susceptible,Pan-Susceptible
102497179,P34308,2020-06-29,Whole Chicken,false,,,,
102498700,P39915,2020-06-29,Whole Chicken,false,,,,
102500840,P44826,2020-06-29,Whole Chicken,false,,,,
102483102,P46897,2020-06-29,Whole Chicken,false,,,,
102480722,P45910,2020-06-29,Whole Chicken,false,,,,
102476789,P9792,2020-06-29,Ground Chicken,true,Infantis,true,NAL FIS TET,Highly Important
102501395,P1304A,2020-06-29,Ground Chicken,true,Infantis,true,NAL FIS TET,Highly Important
102481711,P1234,2020-06-29,Whole Chicken,false,,,,
102478377,P1949,2020-06-29,Whole Chicken,false,,,,
102494705,P7632,2020-06-29,Chicken Parts,false,,,,
102479363,P4181,2020-06-29,Chicken Parts,false,,,,
102483033,P32130,2020-06-29,Whole Turkey,true,Agona,true,FIS TET,Highly Important
102477682,P1249,2020-06-29,Chicken Parts,true,Typhimurium,true,FIS TET,Highly Important
102490628,P45457,2020-06-29,Chicken Parts,true,Enteritidis,true,Pan-Susceptible,Pan-Susceptible
102483923,P9141,2020-06-29,Chicken Parts,false,,,,
102497220,P7100,2020-06-29,Whole Chicken,false,,,,
102498654,P7156,2020-06-29,Whole Chicken,false,,,,
102476321,P7264,2020-06-29,Whole Chicken,false,,,,
102500990,P13456,2020-06-29,Whole Chicken,false,,,,
102483541,P689,2020-06-29,Whole Chicken,false,,,,
102485010,P1015,2020-06-29,Chicken Parts,false,,,,
102491725,P5221,2020-06-29,Chicken Parts,false,,,,
102492869,P21200,2020-06-29,Chicken Parts,false,,,,
102490797,P31881,2020-06-29,Chicken Parts,false,,,,
102495098,P32182,2020-06-29,Chicken Parts,false,,,,
102500174,P34453,2020-06-29,Chicken Parts,false,,,,
102486820,P40059,2020-06-29,Chicken Parts,false,,,,
102486056,P40124,2020-06-29,Chicken Parts,false,,,,
102496216,P45465,2020-06-29,Chicken Parts,false,,,,
102477554,P51179,2020-06-29,Chicken Parts,false,,,,
102477569,P51179,2020-06-29,Chicken Parts,false,,,,
